File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,qstring(val),13,9,3,4,3,0,1,5,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,ContentType(type),3,3,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\index.js,"parse(str, options)",34,24,19,6,7,0,3,12,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\index.js,"serialize(name, val, options)",78,61,43,20,17,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\index.js,"tryDecode(str, decode)",6,6,5,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\README.md,"onRequest(req, res)",35,23,19,2,7,1,5,32,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\index.js,"function(val, secret)",8,8,4,3,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\index.js,"function(val, secret)",7,6,5,3,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\index.js,sha1(str),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\README.md,function(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\README.md,1000);  setInterval(function(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,useColors(),18,8,4,3,1,0,9,56,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,function(v),6,6,5,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,formatArgs(args),31,21,14,3,5,0,5,48,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,log(),6,4,2,3,0,0,2,13,
