File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\polling-xhr.js,70,28,26,3,15,0,27,62,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\polling.js,409,242,212,21,75,0,92,264,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\websocket.js,135,59,52,5,28,0,48,108,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\engine.io.js,4707,2700,2186,488,816,131,1191,4465,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\index.js,3,1,1,0,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\History.md,684,494,0,0,185,2,5,23,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\README.md,300,242,44,0,57,20,1,55,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\package.json,151,150,21,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\index.js,11,2,2,0,3,0,6,10,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\socket.js,745,455,379,53,122,1,168,575,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transport.js,158,71,67,6,28,0,59,135,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\xmlhttprequest.js,38,21,18,6,8,0,9,53,1,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports\index.js,54,30,26,6,11,0,13,37,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports\polling-jsonp.js,232,129,114,13,49,0,54,191,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports\polling-xhr.js,414,196,174,19,58,1,160,447,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports\polling.js,246,130,115,16,45,1,71,239,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports\websocket.js,287,160,134,23,47,1,80,270,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\index.js,3,1,1,0,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\History.md,178,119,0,0,59,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\Readme.md,203,152,22,3,51,12,0,18,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\package.json,102,101,16,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\lib\browser.js,607,368,298,101,109,5,130,527,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\lib\index.js,481,269,216,80,87,4,125,462,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\lib\keys.js,20,10,8,3,4,0,6,17,6,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\lib\utf8.js,256,201,154,43,33,8,22,135,1,6
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\escape-html\index.js,79,43,29,12,14,5,22,72,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\escape-html\Readme.md,43,29,2,0,13,0,1,4,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\escape-html\package.json,95,94,15,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\etag\index.js,133,53,8,14,25,0,55,138,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\etag\HISTORY.md,79,53,0,0,26,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\etag\README.md,160,109,0,0,51,13,0,22,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\etag\package.json,120,119,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\index.js,12,2,2,0,3,0,7,23,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\History.md,3290,434,0,0,33,1,2823,11293,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\Readme.md,142,99,1,0,43,29,0,66,0,1
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\package.json,200,199,27,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\application.js,645,269,219,49,105,0,271,995,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\express.js,112,59,33,1,20,1,33,93,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\request.js,518,161,125,43,72,0,285,1141,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\response.js,1077,475,392,97,149,1,453,1688,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\utils.js,299,130,103,42,51,2,118,357,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\view.js,175,72,59,12,36,0,67,187,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\middleware\init.js,44,14,11,2,10,0,20,64,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\middleware\query.js,48,22,18,4,10,0,16,44,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\router\index.js,663,381,282,88,124,1,158,718,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\router\layer.js,182,89,64,20,35,0,58,176,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\router\route.js,217,102,85,25,46,0,69,204,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\finalhandler\index.js,301,139,31,32,58,0,104,297,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\finalhandler\HISTORY.md,156,112,0,0,44,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\finalhandler\README.md,147,106,8,2,41,13,0,22,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\finalhandler\package.json,117,116,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\forwarded\index.js,36,13,2,2,7,0,16,45,8,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\forwarded\HISTORY.md,5,3,0,0,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\forwarded\README.md,54,39,0,0,15,10,0,10,0,0
